Angle,Power(dBm),Normalized Power (dB)
-10,-83.88052,0.0
-8,-85.41006,-1.5295399999999972
-6,-86.82225,-2.9417299999999926
-4,-85.95588,-2.075359999999989
-2,-86.45895,-2.5784299999999973
0,-84.7943,-0.9137800000000027
2,-86.22941,-2.3488899999999973
4,-85.5882,-1.7076799999999963
6,-85.67354,-1.7930199999999985
8,-86.35995,-2.4794299999999936
10,-86.06496,-2.184439999999995
